BLOCK,NUMBER,POLE_LOC
6,1e,"8.233156774925313, 124.23684715787013"
6,2e,"8.232994846436517, 124.23682570019903"
6,3e,"8.232927154999453, 124.23665940324818"
6,4e,"8.232928482282643, 124.2365306572217"
6,5e,"8.233146156665784, 124.2365494326839"
6,6e,"8.23316872046696, 124.23639654677748"
6,7e,"8.233258975658753, 124.23629730504875"
6,8e,"8.233289503149782, 124.23623561422617"
6,9e,"8.23337046734222, 124.23614576022855"
6,10e,"8.23356292314373, 124.23590972582588"
6,11e,"8.23342355860767, 124.23580243747048"
6,12e,"8.233105082406745, 124.23561246591734"
6,13e,"8.232811546101843, 124.23551773659422"
6,14e,"8.232661987600927, 124.23563727596552"
6,15e,"8.232069333573952, 124.23519407809775"
6,16e,"8.231569315923535, 124.23485914229745"
6,17e,"8.231194302272307, 124.23520986629688"
6,18e,"8.231176444467902, 124.23534406618765"
6,19e,"8.23116863167953, 124.23546811647864"
6,20e,"8.231166399454262, 124.23559442222945"
6,21e,"8.231146309426203, 124.23573651619914"
6,22e,"8.231226669534951, 124.23578613632961"
6,23e,"8.231126219399773, 124.23615828720257"
6,24e,"8.231089387676247, 124.23648307344779"
6,25e,"8.231077110434615, 124.23667027661419"
6,26e,"8.231068181531096, 124.23676387821678"
6,27e,"8.231035814255145, 124.23691273856598"
6,28e,"8.231042510933154, 124.23705370480573"
6,29e,"8.231657488724615, 124.23719128787316"
6,30e,"8.23184499537391, 124.23720482063297"
6,31e,"8.232047011364363, 124.2371946710637"
6,32e,"8.232135184057176, 124.23720030971327"
