BLOCK,NUMBER,POLE_LOC
7,1f,"8.231727055392877, 124.2371959798663"
7,2f,"8.23140115082884, 124.23715989250894"
7,3f,"8.231006046990894, 124.23713057153105"
7,4f,"8.231001582538486, 124.2373538620548"
7,5f,"8.230986657223053, 124.23752967306163"
7,6f,"8.230980343533599, 124.23758150571734"
7,7f,"8.230956667197256, 124.23800414121773"
7,8f,"8.230893530292105, 124.23843714328957"
7,9f,"8.230805138605595, 124.23854399830601"
7,10f,"8.230608624884097, 124.23866121985046"
7,11f,"8.230783040683189, 124.23892676256276"
7,12f,"8.23098113274052, 124.2392864014508"
7,13f,"8.2312344694556, 124.23967395025169"
7,14f,"8.231453080758193, 124.23944429171601"
7,15f,"8.231635388289824, 124.2388924732668"
7,16f,"8.231842135246234, 124.23868433483467"
7,17f,"8.231801652995859, 124.23868634649133"
7,18f,"8.231711397471928, 124.23868768759577"
7,19f,"8.231889253927328, 124.23824512311468"
7,20f,"8.231947654536574, 124.23795008013735"
7,21f,"8.232025964433783, 124.23749075183838"
