BLOCK,NUMBER,POLE_LOC
1,1,"8.23462708981666, 124.2367712833038"
1,2,"8.234714026483028, 124.23666935936619"
1,3,"8.234768444844624, 124.23662912623293"
1,4,"8.23420853029263, 124.23631735561523"
1,5,"8.234146148179502, 124.23624627707977"
1,6,"8.23381336588681, 124.23596900782303"
1,7,"8.233573128087313, 124.23590597590668"
1,8,"8.233506100389723, 124.2358027108646"
1,9,"8.232856994869264, 124.2354437402088"
1,10,"8.2332027520556, 124.23494686099009"
1,11,"8.233118469622536, 124.23500251682445"
1,12,"8.23293132273462, 124.2353163352855"
1,13,"8.233107851359534, 124.23561808378729"
1,14,"8.23329367088495, 124.23539814264971"
1,15,"8.233442326437114, 124.23526336165324"
1,16,"8.233489444929958, 124.23507024259807"
1,17,"8.233667964225729, 124.23509773523911"
1,18,"8.233695837122896, 124.23521575244158"
1,19,"8.23373034641743, 124.23527207882816"
1,20,"8.233964611363788, 124.23551213654602"
1,21,"8.23415109411994, 124.2358440598955"
1,22,"8.234245994563533, 124.23595403045978"
1,23,"8.2342778492575, 124.2362302979923"
1,24,"8.234371422392371, 124.23619408817234"
1,25,"8.234428495357397, 124.23615653724794"
1,26,"8.234914623708287, 124.23710451355352"
1,27,"8.235240596850135, 124.23747745003936"
1,28,"8.235278478577785, 124.237169643807"
1,29,"8.235605997537146, 124.2367996383647"
1,30,"8.235657295661793, 124.23687379893364"
