BLOCK,NUMBER,POLE_LOC
4,1c,"8.235847177104061, 124.23812887113613"
4,2c,"8.235571250939062, 124.23828059977008"
4,3c,"8.23534037380075, 124.23768506482949"
4,4c,"8.235158299864995, 124.23746695489903"
4,5c,"8.235034414451494, 124.23731332963155"
4,6c,"8.23489175847658, 124.23717487723391"
4,7c,"8.23441310977148, 124.23691314529462"
4,8c,"8.234373691617694, 124.2370648739419"
4,9c,"8.234212264845015, 124.23632709337814"
4,10c,"8.233709213568401, 124.23631761033077"
4,11c,"8.233536524172278, 124.23650537454037"
4,12c,"8.233435162973064, 124.23648071863516"
4,13c,"8.233628500052816, 124.23656796260735"
4,14c,"8.233679180630917, 124.23671589803847"
4,15c,"8.233688565922455, 124.2369605604822"
4,16c,"8.233513999463591, 124.23697194013074"
4,17c,"8.233350695280118, 124.23704780446414"
4,18c,"8.233437040025436, 124.23720522293569"
4,19c,"8.23348208945029, 124.23737591766388"
4,20c,"8.233489597687267, 124.23763764958045"
