BLOCK,NUMBER,POLE_LOC
5,1d,"8.23242657906238, 124.23732806769974"
5,2d,"8.232295994277308, 124.23732130132022"
5,3d,"8.232109603953942, 124.23731002402103"
5,4d,"8.232093978413875, 124.2374318188522"
5,5d,"8.23202366347589, 124.23802951570876"
5,6d,"8.232341754761215, 124.23839038932194"
5,7d,"8.23253707384565, 124.23858210340802"
5,8d,"8.232756947224873, 124.23854939924222"
5,9d,"8.23292324730566, 124.23850654550535"
5,10d,"8.233123030534818, 124.2385178228053"
5,11d,"8.23320115802602, 124.23859901935938"
5,12d,"8.233280401608477, 124.23873096375982"
5,13d,"8.232979052689243, 124.2383802397553"
5,14d,"8.23268105186145, 124.23812988370051"
5,15d,"8.232617433679076, 124.23798891746075"
5,16d,"8.232503590590388, 124.23789982679725"
5,17d,"8.232466758991313, 124.237773521028"
5,18d,"8.232381934699982, 124.23770247404319"
5,19d,"8.232429927393369, 124.23753782547516"
5,20d,"8.232464526775827, 124.23737204917173"
5,21d,"8.232593995396707, 124.23744196842667"
5,22d,"8.232619665894093, 124.23750512130206"
5,23d,"8.232775218028603, 124.23756061531805"
5,24d,"8.23289334626051, 124.23764644600239"
5,25d,"8.232873437012142, 124.23739565946967"
5,26d,"8.233019438156305, 124.23726557233879"
5,27d,"8.233067220337238, 124.23745600916959"
5,28d,"8.233187702147957, 124.23750283839337"
5,29d,"8.233340339585341, 124.23752966048222"
5,30d,"8.23331113938703, 124.23787432433271"
5,31d,"8.233194338562061, 124.2379185807793"
5,32d,"8.233084174116021, 124.23803123355246"
5,33d,"8.233007191713854, 124.23808219552129"
5,34d,"8.232875790682476, 124.23810097098347"
5,35d,"8.233045682916808, 124.23815997957895"
5,36d,"8.23310010150644, 124.23833298207306"
5,37d,"8.233254066259695, 124.23831152440196"
5,38d,"8.233327066768325, 124.23840808392181"
5,39d,"8.233308484821961, 124.23825788022427"
5,40d,"8.233398739981896, 124.23818546058438"
5,41d,"8.233490322402567, 124.2381130409445"
