BLOCK,NUMBER,POLE_LOC
9,1h,"8.231365400910827, 124.241015634984"
9,2h,"8.232121954591898, 124.24119266077041"
9,3h,"8.232798869840224, 124.24152793691081"
9,4h,"8.233303237295859, 124.2419383148702"
9,5h,"8.233507638671306, 124.24210461183924"
9,6h,"8.233834149723586, 124.24230309529673"
9,7h,"8.233810258680109, 124.24251498979862"
9,8h,"8.23333774663516, 124.24264910024287"
9,9h,"8.233234218639902, 124.24255790514076"
9,10h,"8.233149272572295, 124.24254181188748"
9,11h,"8.233420038099275, 124.24318017760204"
