BLOCK,NUMBER,POLE_LOC
11,1j,"8.231292181179004, 124.23472155109448"
11,2j,"8.231440552735968, 124.23480129363291"
11,3j,"8.231841471350736, 124.23497353753496"
11,4j,"8.232166625519778, 124.23511069471621"
11,5j,"8.23227711473975, 124.2352095754748"
11,6j,"8.232608582214723, 124.23535311205983"
11,7j,"8.232861750162598, 124.23543290009432"
11,8j,"8.232803348807819, 124.23540419277732"
11,9j,"8.232924886752672, 124.23531647597535"
11,10j,"8.233117453290243, 124.23498474697884"
11,11j,"8.233205844456451, 124.23493849630142"
11,12j,"8.23299118016143, 124.23460517245395"
11,13j,"8.232789143069487, 124.23433883231489"
11,14j,"8.232020454127861, 124.23407408704497"
11,15j,"8.231646368819327, 124.23375033229551"
11,16j,"8.231778956053763, 124.23346166427447"
11,17j,"8.231486948390588, 124.23406770762696"
11,18j,"8.231445715354518, 124.23419490539895"
11,19j,"8.231374386729328, 124.23436370351905"
