BLOCK,NUMBER,POLE_LOC
3,1b,"8.23602674873529, 124.23946465050511"
3,2b,"8.236241411384436, 124.2391584391237"
3,3b,"8.235237546818649, 124.23913930091237"
3,4b,"8.234950276904067, 124.23960499743905"
3,5b,"8.23421158194859, 124.24054595949649"
3,6b,"8.233772783855043, 124.24104674270274"
3,7b,"8.233182457596158, 124.24167511401012"
3,8b,"8.23363388363212, 124.2419047725643"
3,9b,"8.23388642943958, 124.24214400020601"
3,10b,"8.234126347807447, 124.2423672793383"
3,11b,"8.234281031941245, 124.24238322784772"
3,12b,"8.234423088745572, 124.24245659099121"
